provider,title,link
cnn,Rebecca Cheptegei dies,https://edition.cnn.com/2024/09/05/sport/ugandan-olympian-rebecca-cheptegei-dies-intl/index.html
cnn,Fugitive mayor arrested,https://edition.cnn.com/2024/09/04/asia/philippines-alice-guo-fugitive-arrested-intl-hnk/index.html
cnn,‘Russian spy’ whale,https://edition.cnn.com/2024/09/04/europe/norway-beluga-spy-whale-shot-hvaldimir-intl-latam/index.html
cnn,Super typhoon menaces ‘China’s Hawaii’,https://edition.cnn.com/2024/09/04/asia/china-typhoon-yagi-enteng-update-intl-hnk/index.html
cnn,Iberian lynx back from brink,https://edition.cnn.com/science/spain-iberian-lynx-virtual-fence-spc-c2e/index.html
cnn,Travis Kelce’s new racehorse,https://edition.cnn.com/2024/09/05/sport/travis-kelce-taylor-swift-racehorse-spt-intl/index.html
cnn,"A Georgia community grieves deadly shooting, where hallways and classrooms turned into scenes of horror. What we know.",https://edition.cnn.com/2024/09/05/us/winder-georgia-shooting-apalachee-high-school/index.html
cnn,Authorities probe how shooting suspect got weapon into school,https://edition.cnn.com/us/live-news/apalachee-school-shooting-georgia-09-05-24/index.html
cnn,From algebra class to barricading doors: How the Georgia school shooting unfolded,https://edition.cnn.com/2024/09/05/us/timeline-georgia-high-school-shooting/index.html
cnn,‘It’s insane’: Teacher praises technology that protected students during shooting,https://edition.cnn.com/2024/09/05/us/video/apalachee-school-shooting-georgia-door-technology-cnc-ldn-digvid
cnn,Takeaways from Donald Trump’s election interference court hearing,https://edition.cnn.com/2024/09/05/politics/takeaways-trump-jan-6-election-hearing/index.html
cnn,Video,https://edition.cnn.com/2024/09/05/politics/video/election-interference-immunity-case-judge-hearing-polantz-digvid
cnn,Analysis,https://edition.cnn.com/2024/09/05/europe/vladimir-putin-kamala-harris-endorsement-intl/index.html
cnn,Analysis,https://edition.cnn.com/2024/09/04/politics/harris-separate-biden-economy-trump/index.html
cnn,"Italy yacht victims died of ‘dry drowning,’ first autopsies show",https://edition.cnn.com/2024/09/05/europe/italy-luxury-yacht-victims-autopsies-intl/index.html
cnn,Video,https://edition.cnn.com/videos/fast/cnni-fast
cnn,CNN Exclusive,https://edition.cnn.com/2024/09/05/europe/ukraine-army-chief-kursk-incursion-exclusive-intl/index.html
cnn,Michel Barnier named as new French PM,https://edition.cnn.com/2024/09/05/europe/france-prime-minister-michel-barnier-intl/index.html
cnn,Netanyahu on ceasefire and hostage agreement: ‘Not a deal in the making’,https://edition.cnn.com/2024/09/05/middleeast/israel-netanyahu-hamas-agreement-intl/index.html
cnn,New Maori Queen anointed,https://edition.cnn.com/2024/09/05/world/new-maori-queen-anointed-intl-scli/index.html
cnn,Video,https://edition.cnn.com/2024/09/05/politics/video/hunter-biden-tax-evasion-case-alford-plea-digvid
cnn,What we know about the couple killed at a nudist ranch in California,https://edition.cnn.com/2024/09/05/us/what-we-know-nudist-ranch-missing-couple/index.html
cnn,Video,https://edition.cnn.com/2024/09/05/politics/video/donald-trump-town-hall-hannity-kamala-harris-digvid
cnn,The Murdoch family is secretly battling over succession. News outlets are asking a court to make it public,https://edition.cnn.com/2024/09/04/media/rupert-murdoch-lachlan-succession-court-news-outlets/index.html
cnn,Advertisers plan to withdraw from X in record numbers,https://edition.cnn.com/2024/09/05/business/advertisers-x-withdrawal/index.html
cnn,Pope repeats remarks that some people prefer pets to children,https://edition.cnn.com/2024/09/05/europe/pope-frances-remarks-pets-children-intl/index.html
cnn,US soccer legend Alex Morgan announces retirement,https://edition.cnn.com/2024/09/05/sport/alex-morgan-retires-soccer-spt-intl/index.html
cnn,Remote Indigenous tribe kills two loggers encroaching on their land in Peru,https://edition.cnn.com/2024/09/05/americas/indigenous-tribe-kills-loggers-peru-intl-scli/index.html
cnn,Video,https://edition.cnn.com/2024/09/05/health/video/mosquitos-attraction-color-carbon-dioxide-digvid
cnn,"China’s New York envoy ‘performing his duties as usual’ after Chinese agent case, Beijing’s consulate says",https://edition.cnn.com/2024/09/05/us/china-new-york-envoy-intl-hnk/index.html
cnn,Dress codes: Why do schoolgirls wear tartan?,https://edition.cnn.com/2024/09/05/style/plaid-school-uniforms-dress-codes/index.html
cnn,Massive asteroid impact may have shifted the axis of the largest moon in the solar system,https://edition.cnn.com/2024/09/05/science/ganymede-asteroid-impact/index.html
cnn,Marine technology is helping humans explore the deep. Tell us which is the coolest,https://cnn.it/3TiQcm7
cnn,Beleaguered Burberry is no longer one of UK’s most valuable public companies,https://edition.cnn.com/2024/09/05/business/burberry-ftse-100-drop/index.html
cnn,Video,https://edition.cnn.com/2024/09/05/sport/video/ricky-pearsall-49ers-phone-affil-pkg-digvid
cnn,Australia is offering discounts to tourists who watch science videos. Will it work?,https://edition.cnn.com/travel/australia-great-barrier-reef-ecotourism-discounts-intl-hnk/index.html
cnn,Mondo Duplantis runs 100 meters in 10.37 seconds to beat Karsten Warholm in exhibition race,https://edition.cnn.com/2024/09/05/sport/mondo-duplantis-100m-karsten-warholm-spt-intl/index.html
cnn,"After fortune teller prediction, Australian swimmer celebrates world record Paralympic gold-medal win",https://edition.cnn.com/2024/09/05/sport/alexa-leary-fortune-teller-paralympics-intl-spt/index.html
cnn,Jannik Sinner reaches US Open semifinals with win against Daniil Medvedev,https://edition.cnn.com/2024/09/05/sport/jannik-sinner-daniil-medvedev-us-open-spt-intl/index.html
cnn,Adele is taking a break. Here’s how she announced it,https://edition.cnn.com/2024/09/04/world/video/adele-performance-break-munich-ldn-digvid
cnn,"He was the human computer that kept Concorde in the air, but no one understood what his job was",https://edition.cnn.com/travel/flight-engineers-concorde-warren-hazelby/index.html
cnn,Russian watchmaker upends race to design world’s thinnest wristwatch,https://edition.cnn.com/2024/09/05/style/konstantin-chaykin-thinking-worlds-thinnest-watch/index.html
cnn,"Dubai is home to world’s tallest skyscraper. Now it’s building the second-tallest, too",https://edition.cnn.com/2024/09/05/style/burj-azizi-dubai-second-tallest-building-hnk-spc-intl/index.html
cnn,Pope Francis pinpoints ‘two serious crises’ facing the world,https://edition.cnn.com/2024/09/05/asia/pope-indonesia-climate-extremism-intl-hnk/index.html
cnn,The Eiffel Tower could be permanently changed. Hear Parisians react,https://edition.cnn.com/2024/09/04/world/video/eiffel-tower-paris-olympic-rings-digvid
cnn,Robot controlled by a king oyster mushroom blends living organisms and machines,https://edition.cnn.com/2024/09/04/science/fungus-robot-mushroom-biohybrid/index.html
cnn,Asteroid burns up in Earth’s atmosphere over Philippines,https://edition.cnn.com/2024/09/04/science/asteroid-strike-philippines-luzon-island/index.html
cnn,New Titanic photos show major decay to legendary wreck,https://edition.cnn.com/2024/09/02/science/titanic-photos-show-major-decay-intl-scli/index.html
cnn,NASA spacecraft collision may have created a meteor shower that will last for 100 years,https://edition.cnn.com/2024/08/31/science/dimorphos-dart-impact-debris-meteor-shower/index.html
cnn,This airport was once the gateway to Europe. Now no one’s heard of it,https://edition.cnn.com/travel/croydon-airport-london-aerodrome-gateway/index.html
cnn,How a Soviet-era accident created one of Turkmenistan’s most popular attractions,https://edition.cnn.com/travel/turkmenistan-flaming-gates-of-hell-darvaza/index.html
cnn,This tourism experience costs $800 for an hour. Here’s why it’s worth it,https://edition.cnn.com/travel/uganda-gorillas-treks-sustainable-tourism/index.html
cnn,End of an era: The big change coming to European travel in November,https://edition.cnn.com/2024/08/31/travel/travel-news-eu-passport-best-connected-airport/index.html
cnn,25 of the USA’s most underrated destinations,https://edition.cnn.com/travel/25-us-most-underrated-destinations/index.html
cnn,Dollar stores are struggling. Blame Walmart,https://edition.cnn.com/2024/09/04/business/dollar-stores-walmart-low-income-consumers/index.html
cnn,Chipotle and Spirit Halloween are launching a costume collection,https://edition.cnn.com/2024/09/04/business/chipotle-spirit-halloween-costume/index.html
cnn,US regulators want to investigate Shein and Temu over ‘deadly’ baby products,https://edition.cnn.com/2024/09/04/business/cpsc-shein-temu-investigation/index.html
cnn,Costco’s first membership price hike in 7 years just went into effect,https://edition.cnn.com/2024/09/03/business/costco-membership-fee-price-increase/index.html
cnn,Viral videos of people stealing money from Chase ATMs were just plain check fraud,https://edition.cnn.com/2024/09/03/business/chase-tiktok-trend/index.html
cnn,See inside Jennifer Garner’s tranquil farmhouse-style home,https://edition.cnn.com/2024/09/03/style/jennifer-garner-home-ad/index.html
cnn,"Tilda Swinton, Angelina Jolie among stars to revive old Hollywood glamour on Venice red carpet",https://edition.cnn.com/2024/08/30/style/venice-film-festival-2024-red-carpet/index.html
cnn,Polaroids from inside a female prison in the ’70s shed new light on women behind bars,https://edition.cnn.com/2024/06/12/style/jack-lueders-booth-female-prisoners/index.html
cnn,"Boy who accidentally broke 3,500-year-old jar welcomed back to museum",https://edition.cnn.com/2024/09/02/style/israel-haifa-museum-boy-broken-jar-returns-intl-hnk/index.html
cnn,I’m 36 — when do I have to give up crop tops?,https://edition.cnn.com/2024/09/01/style/crop-tops-middle-age-essay/index.html
cnn,Caitlin Clark posts second career triple-double in Indiana Fever victory over Los Angeles Sparks,https://edition.cnn.com/2024/09/05/sport/caitlin-clark-triple-double-wnba-spt-intl/index.html
cnn,"2024 NFL season preview: a potential historic three-peat, rookie quarterbacks and first foray into South America",https://edition.cnn.com/2024/09/05/sport/nfl-new-season-preview-spt-intl/index.html
cnn,Jessica Pegula ousts world No. 1 Iga Świątek and breaks through to her first major semifinal,https://edition.cnn.com/2024/09/04/sport/jessica-pegula-iga-swiatek-us-open-spt-intl/index.html
cnn,Oksana Masters: ‘Sports really taught me it was okay to take my legs off in front of people and to still be powerful’,https://edition.cnn.com/2024/09/03/sport/oksana-masters-paralympics-coy-wire-intl-spt/index.html
cnn,Tim Walz’s brother stands by criticism of his policies but says Facebook ‘wasn’t the right platform’ to express views,https://edition.cnn.com/2024/09/04/politics/jeff-walz-criticism-brother-policies/index.html
cnn,Venezuela’s Maduro decrees Christmas will start in October amid crackdown,https://edition.cnn.com/2024/09/03/americas/christmas-venezuela-october-maduro-intl-latam/index.html
cnn,"Harris breaks with Biden on capital gains tax, proposing a smaller increase",https://edition.cnn.com/2024/09/04/politics/kamala-harris-capital-gains-tax/index.html
cnn,KFILE,https://edition.cnn.com/2024/09/04/politics/kfile-harris-border-wall-asylum-contradicts-progressive-immigration-positions/index.html
cnn,Fact check,https://edition.cnn.com/2024/09/04/politics/donald-trump-fact-check-children-gender-affirming-surgery/index.html
cnn,What parents can do to reduce the likelihood of kids getting sick and missing school,https://edition.cnn.com/2024/09/04/health/back-to-school-virus-risks-wellness/index.html
cnn,Analysis: Your children’s smartphones aren’t making them smarter,https://edition.cnn.com/2024/09/02/health/phones-allowed-school-children-wellness/index.html
cnn,"Food as fuel might not be the healthiest approach, experts say",https://edition.cnn.com/2024/09/01/health/emotional-eating-wellness/index.html
cnn,Analysis: Parents are not OK right now. Here’s what they can do,https://edition.cnn.com/2024/09/01/health/parenting-stress-tips-surgeon-general-wellness/index.html
cnn,Why a ‘liquid gold’ substance for cows is making waves with humans,https://edition.cnn.com/2024/08/27/health/colostrum-supplements-pros-cons-wellness/index.html
cnn,"‘From the River to the Sea’ is not hate speech, Meta’s Oversight Board rules",https://edition.cnn.com/2024/09/04/tech/from-the-river-to-the-sea-meta-oversight-board/index.html
cnn,It’s not just you. More weird spam is popping up on Facebook,https://edition.cnn.com/2024/09/03/tech/facebook-spam-ai-meta/index.html
